FIPS,state,county,buildings,minimal_exposure,indirect_exposure,direct_exposure,burn_probability,wildfire_risk,population,svi,svi_socioeconomic,svi_household,svi_minority,svi_housing_transport,county_label,svi_quartile,high_high,compound_priority
16055,ID,"Kootenai County, ID",86057,0.329107452,0.235053511,0.435839037,0.57,0.667,173396,0.2746,0.3544,0.2071,0.3675,0.322,"Kootenai County, ID",Q2,FALSE,0.4708
16057,ID,"Latah County, ID",21706,0.373583341,0.140099512,0.486317147,0.872,0.877,39872,0.2825,0.4518,0.0035,0.3847,0.8097,"Latah County, ID",Q2,FALSE,0.57975
16059,ID,"Lemhi County, ID",9420,3.18471e-4,0.289171975,0.710509554,0.908,0.926,8043,0.4073,0.3579,0.5555,0.1985,0.5212,"Lemhi County, ID",Q2,FALSE,0.66665
16061,ID,"Lewis County, ID",3969,0.197026959,0.304862686,0.498110355,0.957,0.946,3630,0.7146,0.7261,0.9217,0.5183,0.3557,"Lewis County, ID",Q3,FALSE,0.8303
16063,ID,"Lincoln County, ID",4649,0.014626801,0.359001936,0.626371263,0.976,0.971,5203,0.6742,0.7738,0.7146,0.7359,0.2784,"Lincoln County, ID",Q3,FALSE,0.8226
16065,ID,"Madison County, ID",13292,0.637676798,0.044613301,0.317709901,0.777,0.826,52487,0.4318,0.7264,0.0016,0.4057,0.8657,"Madison County, ID",Q2,FALSE,0.6289
16067,ID,"Minidoka County, ID",15025,0.707021631,0.013843594,0.279134775,0.806,0.818,21626,0.5978,0.6118,0.5931,0.7725,0.3913,"Minidoka County, ID",Q3,FALSE,0.7079
16069,ID,"Nez Perce County, ID",25228,0.303194863,0.384057397,0.312747741,0.929,0.919,42200,0.5892,0.4378,0.5565,0.4018,0.8333,"Nez Perce County, ID",Q3,FALSE,0.7541
16071,ID,"Oneida County, ID",4623,0.106640709,0.294830197,0.598529094,0.984,0.983,4572,0.0792,0.1149,0.4814,0.182,0.0395,"Oneida County, ID",Q1: Least vulnerable,FALSE,0.5311
16073,ID,"Owyhee County, ID",10356,0.249034376,0.107570491,0.643395133,0.969,0.962,12043,0.7432,0.5892,0.9828,0.6872,0.3968,"Owyhee County, ID",Q3,FALSE,0.8526
16075,ID,"Payette County, ID",15833,0.405292743,0.129792206,0.464915051,0.964,0.943,25571,0.6713,0.5689,0.9271,0.5927,0.4197,"Payette County, ID",Q3,FALSE,0.80715
16077,ID,"Power County, ID",6231,0.108489809,0.483229016,0.408281175,0.981,0.98,7918,0.762,0.7747,0.8616,0.776,0.3926,"Power County, ID",Q4: Most vulnerable,TRUE,0.871
